title,subtitle,price,image,tag,price_range
Nike Air Zoom Spiridon SP,Men's Shoes,240,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/1b84e20a-a998-4581-8a57-5d41c153b497/AIR+ZOOM+SPIRIDON+SP.png",Available in SNKRS,expensive
Nike Mercurial Vapor 16 Academy 'Kylian Mbappé',Multi-Ground Low-Top Football Boot,140,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d29358ba-e4cc-46d8-bab6-d5104427057f/ZOOM+VAPOR+16+ACADEMY+KM+FG%2FMG.png",,affordable
"Nike Mercurial Vapor 16 Elite ""Kylian Mbappé""",Firm-Ground Low-Top Football Boot,350,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/6490f632-722c-4ecf-817b-76f64cf6659c/ZM+VAPOR+16+ELITE+KM+FG.png",,expensive
Nike Mercurial Vapor 16 Pro 'Kylian Mbappé',Firm-Ground Low-Top Football Boot,220,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/dc5e839c-132d-41e5-a482-803479576aed/ZM+VAPOR+16+PRO+KM+FG.png",,expensive
Nike Mercurial Superfly 10 Elite 'Kylian Mbappé',Firm-Ground High-Top Football Boot,380,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/a7af1728-0efb-4111-8ed2-816f9e00fb67/ZM+SUPERFLY+10+ELITE+KM+FG.png",,expensive
Nike Mercurial Superfly 10 Academy 'Kylian Mbappé',Multi-Ground High-Top Football Boot,160,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/72a0c256-dc21-42bf-8683-210d157f6772/ZM+SUPERFLY+10+ACAD+KM+FG%2FMG.png",,affordable
Nike Air Force 1 '07 LV8,Men's Shoes,190,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/1f76d8e2-6cf6-4ff0-a4df-c22e57ba3ff3/AIR+FORCE+1+%2707+LV8.png",,affordable
Nike Air Max Dn8,Men's Shoes,260,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/45e0831e-3dab-4eda-b5ba-1a87f56ade1a/AIR+MAX+DN8.png",Available in SNKRS,expensive
Nike Clogposite,Men's Shoes,200,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/b925e658-a7fc-4f0c-a86e-ccaa0408fa3d/NIKE+CLOGPOSITE.png",Available in SNKRS,expensive
Nike Dunk Low Retro Premium,Men's Shoes,180,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/db43bfbb-c634-4501-b553-6ac54da8006d/NIKE+DUNK+LOW+RETRO+PRM.png",Available in SNKRS,affordable
Nike ACG Izy,Men's Shoes,190,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/9afb24ec-94a5-43b8-b995-57163c18b8be/ACG+IZY.png",Available in SNKRS,affordable
